Pachyderm Acoustic Simulation Results
Saved 22.12.2024 16:32:15
Filename:ORASE_FlatCeiling_Rough_Concrete (2).3dm
Source 0;
Receiver 0;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Lateral Efficiency(LE);1,4386270792902443E-09;1,8817334815719945E-08;7,482378142867937E-06;2,1207048284630067E-05;2,156987777780586E-05;6,3342433004484965E-06;2,5639180326473037E-06;9,956021510767737E-07
Receiver 3;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,2405588461344545;0,2255674359959327;0,2605400824850986;0,28053479023032196;0,2946969655657404;0,3144407188279303;0,2897551597229453;0,34587212961613234
Reverberation Time (T-10);0,2528618378009262;0,31070064036949946;0,40413312904227355;0,4109882581389209;0,461053179631198;0,4193768881580947;0,4184811017891978;0,458095531362466
Reverberation Time (T-15);0,29109690258613535;0,34272695506578293;0,4288024803763886;0,47849757235155943;0,5003394004390561;0,42828849501261423;0,43612409124721757;0,5104805301238178
Reverberation Time (T-20);0,2873440116389912;0,3562035613216138;0,4620553678836299;0,5330048739144092;0,5502023588999642;0,4801444373889015;0,49327239967750386;0,56300851562014
Reverberation Time (T-30);0,30373604301392143;0,38212713152064337;0,531406329522736;0,6408050997644015;0,6812729284759811;0,5848612930221394;0,5936710212292557;0,6646334675187484
Clarity - 50 ms (C-50);18,93991103571542;16,7631573734786;14,687097528684621;14,577256796819924;13,8333426294653;15,283628595400865;14,995667140556641;13,209279538814531
Definition/Deutlichkeit (D);98,7405065215302;97,94020006334136;96,7158566643827;96,63353747033452;96,02940657788332;97,12374866049045;96,93383601024082;95,45171568024796
Clarity - 80 ms (C-80);25,074257756815577;21,951172754648343;18,851393122556274;18,098304349392443;17,408804917480477;19,288071144220694;18,941114670754956;16,671375002003625
Center Time (TS);2,857964010734766;3,7480214437799546;5,260938223860234;5,625381314805036;6,0944333386587735;4,668002294009136;4,987600165874117;7,173275210148131
Strength(G);19,72936692912183;19,891649738573918;19,980395318104;19,942358500824525;19,937571254331914;19,767788326003966;19,845559851428668;20,221381332842164
Lateral Fraction(LF);6,509283133964247E-09;9,747713468277964E-08;3,577543989740729E-05;9,51747899124649E-05;9,442236600649381E-05;2,476225080072595E-05;1,066571771409195E-05;4,229991650932068E-06
Lateral Efficiency(LE);2,0038152602444594E-09;3,297586126267303E-08;1,4216645255432975E-05;3,527479919775524E-05;3,8926046829577576E-05;9,776330723174018E-06;4,097726337032531E-06;1,7249207372076628E-06
Receiver 4;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,23035291156399085;0,2615635341004604;0,3708342697785412;0,3992486970767327;0,41020448620872424;0,39943155260286317;0,39646229200558286;0,4647305804229144
Reverberation Time (T-10);0,30184936378657495;0,34799517227297466;0,4287075541929552;0,4643569174759241;0,49862461875427366;0,42433511869244894;0,42184142578471384;0,5334337869847987
Reverberation Time (T-15);0,290006825516823;0,35694835324416585;0,45875121590664386;0,5165083306039141;0,5701472102204965;0,46823657981428185;0,4815926763489442;0,5785837996788569
Reverberation Time (T-20);0,298018831234067;0,3722964489789458;0,4935192224810719;0,5530120805179399;0,6314880287897521;0,5205192721702623;0,54163493628947;0,6134573326064111
Reverberation Time (T-30);0,31519250288317735;0,4017047554702048;0,5555269482007602;0,6883328512858039;0,7474649200101104;0,6498868015018122;0,6800459957615189;0,7040674932270153
Clarity - 50 ms (C-50);15,81500593423841;13,647288474334161;11,53842698114648;11,007997178022071;10,809972673314732;11,846184020327327;11,772708041153034;10,02687022004151
Definition/Deutlichkeit (D);97,45880792957492;95,89075573760685;93,47355514158228;92,6627855427253;92,34739234078623;93,87432398287893;93,78033440166445;91,04558208409475
Clarity - 80 ms (C-80);21,814870177967563;18,58622434846255;15,512847355453022;14,735750945760838;14,299368852855899;15,816667363269355;15,602272820434365;13,459203268153065
Center Time (TS);5,701721420862303;7,784420087033053;10,804060640224467;11,950525442280227;12,462493909077047;9,893590477267255;10,287779430535627;13,957127821214739
Strength(G);16,38076853583236;16,83300272100131;17,121974413208683;17,233699253518154;17,263028555971538;16,640485525799306;16,730393278821083;17,35019418675393
Lateral Fraction(LF);1,3380694072240435E-08;2,136842497999385E-07;7,520981154324392E-05;0,00019684396789390913;0,00021212382931500137;5,0598801084757414E-05;2,177383342042632E-05;7,971757581130982E-06
Lateral Efficiency(LE);4,426199284650073E-09;7,796898317964074E-08;3,184055693988168E-05;8,33716311536011E-05;8,294704335725433E-05;2,161500575163248E-05;9,00167602701489E-06;3,4943823300201704E-06
Receiver 5;63 Hz.;125 Hz.;250 Hz.;500 Hz.;1000 Hz.; 2000 Hz.;4000 Hz.; 8000 Hz.
Early Decay Time (EDT);0,2458217273715557;0,2997604725517006;0,3921440527348105;0,40581291707051426;0,3935531868141701;0,4139782512483737;0,4238054280001255;0,4441102850264221
